sep=';'
duration, ns;size;Container type;Optional message
51375;100000;vector;
77291;100000;deque;
204625;100000;list;
102583;200000;vector;
164458;200000;deque;
536041;200000;list;
153958;300000;vector;
231500;300000;deque;
726667;300000;list;
205208;400000;vector;
318458;400000;deque;
1570500;400000;list;
256875;500000;vector;
388583;500000;deque;
1210500;500000;list;
310083;600000;vector;
487625;600000;deque;
1456875;600000;list;
358875;700000;vector;
539917;700000;deque;
1699375;700000;list;
410291;800000;vector;
616958;800000;deque;
1891084;800000;list;
461583;900000;vector;
707125;900000;deque;
2032000;900000;list;
512792;1000000;vector;
771083;1000000;deque;
2365292;1000000;list;
