sep=';'
duration, ns;size;Container type;Optional message
51542;100000;vector;
78167;100000;deque;
240708;100000;list;
103083;200000;vector;
157333;200000;deque;
471916;200000;list;
154292;300000;vector;
234292;300000;deque;
702542;300000;list;
205667;400000;vector;
315000;400000;deque;
1019750;400000;list;
256667;500000;vector;
391459;500000;deque;
1255416;500000;list;
308041;600000;vector;
470750;600000;deque;
1453250;600000;list;
359833;700000;vector;
549208;700000;deque;
1667625;700000;list;
410708;800000;vector;
630334;800000;deque;
1804166;800000;list;
462667;900000;vector;
705166;900000;deque;
2096000;900000;list;
516000;1000000;vector;
786208;1000000;deque;
2240084;1000000;list;
