sep=';'
duration, ns;size;Container type;Optional message
75459;100000;vector;
118250;100000;deque;
311417;100000;list;
150375;200000;vector;
233084;200000;deque;
662083;200000;list;
223917;300000;vector;
349750;300000;deque;
977667;300000;list;
301209;400000;vector;
460708;400000;deque;
1157542;400000;list;
376292;500000;vector;
576459;500000;deque;
1464291;500000;list;
458041;600000;vector;
690792;600000;deque;
1731292;600000;list;
524041;700000;vector;
809500;700000;deque;
1960792;700000;list;
597000;800000;vector;
917458;800000;deque;
2333833;800000;list;
674000;900000;vector;
1271375;900000;deque;
2462583;900000;list;
746417;1000000;vector;
1243959;1000000;deque;
2767833;1000000;list;
