sep=';'
duration, ns;size;Container type;Optional message
42;100000;vector;
97833;100000;deque;
2438208;100000;list;
42;200000;vector;
195542;200000;deque;
4864334;200000;list;
42;300000;vector;
302000;300000;deque;
8617750;300000;list;
42;400000;vector;
391250;400000;deque;
10112417;400000;list;
0;500000;vector;
554542;500000;deque;
12525958;500000;list;
42;600000;vector;
588000;600000;deque;
15047667;600000;list;
0;700000;vector;
685917;700000;deque;
17528375;700000;list;
42;800000;vector;
785958;800000;deque;
20083541;800000;list;
0;900000;vector;
986750;900000;deque;
22696792;900000;list;
42;1000000;vector;
978958;1000000;deque;
25218875;1000000;list;
