sep=';'
duration, ns;size;Container type;Optional message
83;100000;vector;
122417;100000;deque;
2560083;100000;list;
83;200000;vector;
242541;200000;deque;
5047375;200000;list;
42;300000;vector;
390750;300000;deque;
7654375;300000;list;
84;400000;vector;
466459;400000;deque;
10068916;400000;list;
84;500000;vector;
634792;500000;deque;
12735667;500000;list;
125;600000;vector;
735583;600000;deque;
15320250;600000;list;
83;700000;vector;
919334;700000;deque;
17744750;700000;list;
125;800000;vector;
1005208;800000;deque;
20186334;800000;list;
83;900000;vector;
1154542;900000;deque;
22709375;900000;list;
83;1000000;vector;
1280291;1000000;deque;
25337375;1000000;list;
