sep=';'
duration, ns;size;Container type;Optional message
42;100000;vector;
103834;100000;deque;
2512500;100000;list;
41;200000;vector;
209041;200000;deque;
5061709;200000;list;
41;300000;vector;
318958;300000;deque;
7592417;300000;list;
42;400000;vector;
416959;400000;deque;
10153042;400000;list;
42;500000;vector;
523583;500000;deque;
12590083;500000;list;
42;600000;vector;
680375;600000;deque;
15135417;600000;list;
41;700000;vector;
766167;700000;deque;
17592792;700000;list;
83;800000;vector;
958375;800000;deque;
20239917;800000;list;
42;900000;vector;
1048750;900000;deque;
22964916;900000;list;
42;1000000;vector;
1130625;1000000;deque;
25432458;1000000;list;
