sep=';'
duration, ns;size;Container type;Optional message
2116500;100000;vector;
2537708;100000;deque;
4783334;100000;list;
4202584;200000;vector;
5049458;200000;deque;
9379417;200000;list;
6321458;300000;vector;
7601167;300000;deque;
14116833;300000;list;
8467334;400000;vector;
10508583;400000;deque;
19188458;400000;list;
10468333;500000;vector;
12986958;500000;deque;
23587584;500000;list;
13230500;600000;vector;
15811167;600000;deque;
29950875;600000;list;
14920625;700000;vector;
18874542;700000;deque;
33775333;700000;list;
16802917;800000;vector;
20369292;800000;deque;
37827292;800000;list;
19071375;900000;vector;
23398417;900000;deque;
42048042;900000;list;
21227750;1000000;vector;
25921792;1000000;deque;
47075375;1000000;list;
