sep=';'
duration, ns;size;Container type;Optional message
2491750;100000;deque;
4693125;100000;list;
4793167;200000;deque;
9298042;200000;list;
7173458;300000;deque;
14055000;300000;list;
9927875;400000;deque;
18629167;400000;list;
12156208;500000;deque;
23438792;500000;list;
14466375;600000;deque;
27924791;600000;list;
17053917;700000;deque;
32903917;700000;list;
19950958;800000;deque;
37812458;800000;list;
22533333;900000;deque;
41923667;900000;list;
24499792;1000000;deque;
46591292;1000000;list;
