sep=';'
duration, ns;size;Container type;Optional message
119042;100000;vector;
109625;100000;vector;with reserve
373000;100000;deque;
2160125;100000;list;
226833;200000;vector;
219166;200000;vector;with reserve
720542;200000;deque;
4152583;200000;list;
346125;300000;vector;
332542;300000;vector;with reserve
1055208;300000;deque;
7173042;300000;list;
460750;400000;vector;
435584;400000;vector;with reserve
1416000;400000;deque;
9150291;400000;list;
540250;500000;vector;
539458;500000;vector;with reserve
1767375;500000;deque;
11997208;500000;list;
682333;600000;vector;
651791;600000;vector;with reserve
2111375;600000;deque;
14315708;600000;list;
794375;700000;vector;
770042;700000;vector;with reserve
2470875;700000;deque;
16502792;700000;list;
899416;800000;vector;
866541;800000;vector;with reserve
2813834;800000;deque;
18923291;800000;list;
1002750;900000;vector;
972084;900000;vector;with reserve
3166250;900000;deque;
22229375;900000;list;
1121709;1000000;vector;
1085416;1000000;vector;with reserve
3543167;1000000;deque;
24270291;1000000;list;
