sep=';'
duration, ns;size;Container type;Optional message
321708;100000;vector;
188208;100000;vector;with reserve
159125;100000;deque;
2074834;100000;list;
653667;200000;vector;
614208;200000;vector;with reserve
370167;200000;deque;
4540500;200000;list;
1228541;300000;vector;
604584;300000;vector;with reserve
701958;300000;deque;
7128750;300000;list;
1174667;400000;vector;
805333;400000;vector;with reserve
741958;400000;deque;
9776000;400000;list;
1599417;500000;vector;
977625;500000;vector;with reserve
1098333;500000;deque;
10956875;500000;list;
2227500;600000;vector;
1714083;600000;vector;with reserve
1167542;600000;deque;
14666625;600000;list;
2791917;700000;vector;
1944709;700000;vector;with reserve
1304458;700000;deque;
16483875;700000;list;
3076000;800000;vector;
1878583;800000;vector;with reserve
1427292;800000;deque;
19797833;800000;list;
3199209;900000;vector;
2649041;900000;vector;with reserve
1555833;900000;deque;
21893917;900000;list;
3737792;1000000;vector;
2725542;1000000;vector;with reserve
1691625;1000000;deque;
27088750;1000000;list;
