sep=';'
duration, ns;size;Container type;Optional message
84583;100000;vector;
79542;100000;vector;with reserve
131333;100000;deque;
2078542;100000;list;
185458;200000;vector;
158250;200000;vector;with reserve
282792;200000;deque;
4681583;200000;list;
380333;300000;vector;
226709;300000;vector;with reserve
404541;300000;deque;
6853208;300000;list;
494875;400000;vector;
320375;400000;vector;with reserve
543208;400000;deque;
9267958;400000;list;
569042;500000;vector;
399166;500000;vector;with reserve
682667;500000;deque;
10926042;500000;list;
815833;600000;vector;
491542;600000;vector;with reserve
811000;600000;deque;
14726541;600000;list;
900292;700000;vector;
571709;700000;vector;with reserve
960791;700000;deque;
17072083;700000;list;
1012250;800000;vector;
667000;800000;vector;with reserve
1095792;800000;deque;
19648584;800000;list;
1132417;900000;vector;
739917;900000;vector;with reserve
1246083;900000;deque;
22040625;900000;list;
1315208;1000000;vector;
851792;1000000;vector;with reserve
1365292;1000000;deque;
24004542;1000000;list;
