sep=';'
duration, ns;size;Container type;Optional message
4213416;100000;vector;
3629875;100000;vector;with reserve
3828541;100000;deque;
6004125;100000;list;
9396625;200000;vector;
7731875;200000;vector;with reserve
7777959;200000;deque;
12617916;200000;list;
15206125;300000;vector;
12173750;300000;vector;with reserve
11195666;300000;deque;
17983542;300000;list;
19666666;400000;vector;
16126291;400000;vector;with reserve
15421292;400000;deque;
25897000;400000;list;
23099292;500000;vector;
20507333;500000;vector;with reserve
19612084;500000;deque;
33412875;500000;list;
29812459;600000;vector;
24516625;600000;vector;with reserve
24438750;600000;deque;
40124417;600000;list;
33854292;700000;vector;
28130083;700000;vector;with reserve
27538708;700000;deque;
45409250;700000;list;
37737208;800000;vector;
32818917;800000;vector;with reserve
32117125;800000;deque;
52292833;800000;list;
41161625;900000;vector;
36510250;900000;vector;with reserve
36061167;900000;deque;
60008417;900000;list;
45577750;1000000;vector;
40677583;1000000;vector;with reserve
41982250;1000000;deque;
67398541;1000000;list;
