sep=';'
duration, ns;size;Container type;Optional message
3566500;100000;deque;
5914625;100000;list;
7965292;200000;deque;
12689458;200000;list;
11876416;300000;deque;
17696959;300000;list;
15314333;400000;deque;
25547041;400000;list;
19707125;500000;deque;
31440041;500000;list;
23905084;600000;deque;
39225125;600000;list;
27959750;700000;deque;
44958584;700000;list;
32007208;800000;deque;
51811791;800000;list;
35658959;900000;deque;
58130125;900000;list;
40572667;1000000;deque;
63618250;1000000;list;
