sep=';'
duration, ns;size;Container type;Optional message
3710250;100000;vector;
4233416;100000;deque;
12023917;100000;list;
7479916;200000;vector;
8203917;200000;deque;
35318875;200000;list;
11295833;300000;vector;
13065584;300000;deque;
40965917;300000;list;
14672291;400000;vector;
16501167;400000;deque;
60388375;400000;list;
23432750;500000;vector;
24698750;500000;deque;
111761625;500000;list;
21635000;600000;vector;
23971583;600000;deque;
136211541;600000;list;
25254834;700000;vector;
28007958;700000;deque;
163253625;700000;list;
29449333;800000;vector;
32491000;800000;deque;
169665708;800000;list;
33801667;900000;vector;
37299542;900000;deque;
203901000;900000;list;
37651250;1000000;vector;
41361750;1000000;deque;
239562292;1000000;list;
