sep=';'
duration, ns;size;Container type;Optional message
8933625;100000;vector;
9751709;100000;deque;
14337375;100000;list;
19555167;200000;vector;
21421125;200000;deque;
30947708;200000;list;
29838625;300000;vector;
32684666;300000;deque;
49446833;300000;list;
40429958;400000;vector;
44149000;400000;deque;
69745542;400000;list;
51722417;500000;vector;
56601583;500000;deque;
92217917;500000;list;
62981375;600000;vector;
69002458;600000;deque;
114973459;600000;list;
73856541;700000;vector;
80398125;700000;deque;
139321750;700000;list;
85030083;800000;vector;
93035625;800000;deque;
167058667;800000;list;
98105042;900000;vector;
107578500;900000;deque;
210039792;900000;list;
108341750;1000000;vector;
118559458;1000000;deque;
231542709;1000000;list;
