sep=';'
duration, ns;size;Container type;Optional message
7121500;100000;vector;
7930209;100000;deque;
12554291;100000;list;
15258375;200000;vector;
16895833;200000;deque;
27492792;200000;list;
23323792;300000;vector;
25831334;300000;deque;
43577792;300000;list;
32381500;400000;vector;
35850667;400000;deque;
62004416;400000;list;
40334541;500000;vector;
44673250;500000;deque;
81963208;500000;list;
49340750;600000;vector;
54616834;600000;deque;
102478542;600000;list;
57805542;700000;vector;
63984834;700000;deque;
128231584;700000;list;
67025667;800000;vector;
74242417;800000;deque;
153780667;800000;list;
76298584;900000;vector;
84304750;900000;deque;
179608083;900000;list;
85914958;1000000;vector;
95067084;1000000;deque;
212771292;1000000;list;
