sep=';'
duration, ns;size;Container type;Optional message
22553375;100000;vector;
24022625;100000;deque;
28032542;100000;list;
47495667;200000;vector;
50502375;200000;deque;
60576750;200000;list;
73908625;300000;vector;
78803542;300000;deque;
98680917;300000;list;
101065584;400000;vector;
107773042;400000;deque;
141811916;400000;list;
128179334;500000;vector;
136472459;500000;deque;
185475291;500000;list;
158167291;600000;vector;
168795250;600000;deque;
239999375;600000;list;
185259500;700000;vector;
200743375;700000;deque;
284038167;700000;list;
220587125;800000;vector;
232011125;800000;deque;
338728417;800000;list;
249917541;900000;vector;
263971417;900000;deque;
392811375;900000;list;
276343375;1000000;vector;
293628292;1000000;deque;
452511833;1000000;list;
